LongMin	DATUM	DETERMINED_DATE	Coll_Object_Remarks	Lot_Count	depth_units	Cat_Num	BEGAN_DATE	Verbatim_Date	ENDED_DATE	COLL_EVENT_REMARKS	collecting_method
	unknown	1/1/2004 0:00:00		1	m	6	10/9/1979 0:00:00	09 Oct 1979	10/9/1979 0:00:00		Agassiz trawl
	unknown	1/1/2004 0:00:00		1	m	7	5/4/1975 0:00:00	04 May 1975	5/4/1975 0:00:00		otter trawl
49.00	unknown	1/1/2004 0:00:00		1	m	8	11/24/1979 0:00:00	24 Nov 1979	11/24/1979 0:00:00		otter trawl
				1	m	9	3/6/1978 0:00:00	06 Mar 1978	3/6/1978 0:00:00		otter trawl
			No locality or data available.	1		10	1/1/1900 0:00:00	unknown	12/31/2003 0:00:00		
			No locality available.	1	fathoms	11	9/23/1981 0:00:00	23 Sep 1981	9/23/1981 0:00:00		shrimp pot
57.00	unknown	1/1/2004 0:00:00		1	fathoms	1	2/15/1983 0:00:00	15 Feb 1983	2/15/1983 0:00:00		
21.00	unknown	1/1/2004 0:00:00		1	m	2	9/21/1991 0:00:00	21 Sep 1991	9/21/1991 0:00:00		otter trawl
